time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,event_index,x(km),y(km),z(km),longitude,latitude,depth(m),source_file
2014-11-06T21:21:50.108,1.77142,1.62638,0.50467,-0.18091,39.56097,36,21,15,228,145.8844,61.21478,20.31107,-87.33818,38.03984,20311.07019,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-06T21:51:31.543,1.48015,0.57089,0.31102,-0.08853,15.80531,16,11,5,229,152.3591,82.01961,13.5218,-87.26004,38.22615,13521.79585,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-06T21:42:14.605,1.39729,1.41388,0.27057,-0.0725,37.0,27,24,3,230,178.4827,-6.3453,10.93996,-86.98352,37.42561,10939.96147,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-07T03:52:21.668,0.87556,2.82083,0.31936,-0.55011,34.0,23,11,12,241,155.56022,20.50113,36.14145,-87.23672,37.67156,36141.45132,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-07T12:35:21.469,1.34673,1.21872,0.39744,-0.01776,50.57237,50,35,15,251,146.76885,81.0299,22.27769,-87.32406,38.21816,22277.69388,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-07T13:08:59.972,1.20201,0.49126,0.22646,0.00511,17.84313,19,12,7,253,142.43081,87.98345,17.59192,-87.3722,38.28148,17591.91656,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-07T17:05:37.296,1.36179,0.66739,0.37518,-0.03592,24.99772,25,16,9,257,154.24433,70.60377,13.57795,-87.24097,38.12303,13577.94515,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-07T17:16:15.053,1.36816,1.11111,0.31409,-0.03652,17.05595,17,11,6,259,180.24841,-19.34864,0.0,-86.96675,37.30816,0.0,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-07T20:14:48.859,0.69782,2.173,0.28898,0.08585,21.0,17,10,7,264,239.75965,-51.02545,29.39637,-86.30609,37.00949,29396.37232,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-07T21:31:43.993,1.74738,1.43181,0.50006,0.20912,72.18425,64,47,17,266,143.88481,66.23274,16.54779,-87.35995,38.08536,16547.79132,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-07T21:13:16.809,1.41951,0.69394,0.3636,0.01498,29.22706,30,19,11,267,151.86949,81.74588,20.32947,-87.26569,38.22377,20329.46936,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-07T21:33:30.776,1.30164,0.53995,0.16233,0.00097,18.86213,19,10,9,268,151.38438,83.82759,17.33493,-87.27078,38.2426,17334.92667,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-07T21:50:57.389,1.44404,0.70274,0.24143,-0.0644,13.05463,16,12,4,269,152.98568,74.85142,33.45668,-87.25442,38.16149,33456.67607,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-08T13:25:01.748,1.32426,1.64091,0.44767,0.05403,62.10851,59,42,17,289,143.32644,77.15749,25.45388,-87.36414,38.18384,25453.87943,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-08T15:13:34.102,1.38515,1.40797,0.38021,0.04399,54.84761,54,29,25,291,152.18776,74.1751,21.33244,-87.26366,38.15553,21332.44297,merged_gamma_catalog_2014_Nov_Dec.csv
