time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,event_index,x(km),y(km),z(km),longitude,latitude,depth(m),source_file,time_central
2014-11-03T10:59:39.951,1.09503,2.53526,0.74174,-1.25363,73.0,39,39,0,74,98.6524,12.55353,41.0,-87.88273,37.60782,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-03T04:59:39.951
2014-11-03T11:59:14.289,1.79043,2.325,0.80748,-0.21696,63.0,41,41,0,75,-3.37594,-97.51606,41.0,-89.03774,36.62132,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-03T05:59:14.289
2014-11-04T02:59:43.362,1.00758,3.00161,0.7619,-1.33405,72.0,44,42,2,102,111.52389,46.50776,41.0,-87.73179,37.91222,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-03T20:59:43.362
2014-11-04T03:58:54.553,2.02148,2.25476,0.80139,0.17655,65.8778,40,40,0,103,-85.17277,-167.79239,41.0,-89.9443,35.98429,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-03T21:58:54.553
2014-11-04T04:58:56.375,1.99819,2.3204,0.78028,0.04654,68.0,43,43,0,104,-66.38989,-167.79239,41.0,-89.73607,35.98578,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-03T22:58:56.375
2014-11-04T05:59:43.652,0.90619,2.9816,0.78778,-1.11612,62.0,39,38,1,105,125.85846,33.46804,41.0,-87.57107,37.7929,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-03T23:59:43.652
2014-11-04T06:59:42.995,0.98885,2.69802,0.78818,-0.76194,64.0,37,37,0,106,122.11774,23.30529,41.0,-87.61524,37.70187,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-04T00:59:42.995
2014-11-04T07:59:42.519,0.97497,2.93881,0.78466,-0.78805,70.0,41,39,2,107,136.04009,19.88739,41.0,-87.45804,37.66912,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-04T01:59:42.519
2014-11-04T08:59:42.899,0.8911,2.70077,0.80899,-0.72166,71.0,44,43,1,108,112.54764,32.0467,41.0,-87.72239,37.78183,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-04T02:59:42.899
2014-11-04T09:59:42.395,0.93678,2.84446,0.82207,-1.08213,67.0,39,39,0,109,117.17855,25.42163,41.0,-87.67089,37.72157,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-04T03:59:42.395
2014-11-04T10:59:43.296,1.00972,2.79468,0.7867,-1.05907,58.0,35,35,0,110,140.02018,23.93112,41.0,-87.41216,37.70495,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-04T04:59:43.296
2014-11-04T11:58:55.520,1.97868,2.41071,0.50426,-0.57146,64.0,42,42,0,111,-74.11276,-167.79239,41.0,-89.82168,35.98521,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-04T05:58:55.520
2014-11-04T12:37:20.762,1.22753,1.35163,0.37071,-0.01109,50.96346,48,30,18,112,146.87684,80.53262,25.14243,-87.32293,38.21366,25142.42632,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-04T06:37:20.762
2014-11-04T12:58:58.804,1.9761,2.53934,0.54228,-1.21528,64.0,45,45,0,113,-39.59528,-167.79239,41.0,-89.439,35.98726,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-04T06:58:58.804
2014-11-05T01:59:39.570,1.03738,2.82059,0.84271,-0.82572,61.0,35,34,1,153,106.21162,17.14063,41.0,-87.79647,37.64831,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-04T19:59:39.570
2014-11-05T02:59:43.730,0.84622,2.41121,0.84018,-1.05178,62.0,32,30,2,154,131.66002,26.85964,41.0,-87.50641,37.73256,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-04T20:59:43.730
2014-11-05T03:59:44.247,0.7483,2.24273,0.45078,-0.46184,26.07405,17,17,0,155,164.05632,-6.96382,41.0,-87.14659,37.42271,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-04T21:59:44.247
2014-11-05T03:59:42.962,0.91076,2.36586,0.97864,-0.99969,38.92595,39,37,2,156,88.0599,38.57045,41.0,-87.99954,37.84328,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-04T21:59:42.962
2014-11-05T04:59:43.658,0.87677,2.88336,0.86363,-0.828,61.0,39,39,0,157,143.20706,25.29719,41.0,-87.37576,37.71676,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-04T22:59:43.658
2014-11-05T05:59:42.496,0.97265,2.67693,0.85577,-1.2588,62.0,36,35,1,158,120.14994,21.64712,41.0,-87.63782,37.68719,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-04T23:59:42.496
2014-11-05T06:59:41.995,0.91179,2.90842,0.91992,-0.93879,63.0,35,35,0,159,106.43209,33.28758,41.0,-87.79162,37.79374,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-05T00:59:41.995
2014-11-05T07:59:41.889,0.91834,2.83383,0.82953,-1.28958,60.0,33,32,1,160,124.96521,26.91056,41.0,-87.58234,37.73396,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-05T01:59:41.889
2014-11-05T08:59:43.630,0.99208,2.60798,0.86964,-1.30324,61.0,38,38,0,161,123.11434,29.69391,41.0,-87.60286,37.75928,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-05T02:59:43.630
2014-11-05T09:59:42.864,0.94277,2.86938,0.89285,-1.42777,58.0,35,34,1,162,117.62939,29.72763,41.0,-87.66509,37.7603,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-05T03:59:42.864
2014-11-05T10:59:43.494,0.9227,3.08217,0.79148,-1.31125,67.0,40,39,1,163,122.16317,36.70571,41.0,-87.61247,37.82257,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-05T04:59:43.494
2014-11-05T11:58:54.667,1.97772,2.11083,0.58405,-0.6062,56.8165,35,35,0,164,-82.12204,-167.79239,41.0,-89.91048,35.98456,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-05T05:58:54.667
2014-11-05T12:59:42.334,1.06359,2.82298,0.66959,-1.0333,67.0,38,37,1,165,99.58189,34.71886,41.0,-87.86918,37.8074,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-05T06:59:42.334
2014-11-06T01:59:40.851,1.00391,2.97494,0.81828,-1.28945,69.0,42,42,0,197,103.80672,26.47284,41.0,-87.82239,37.73265,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-05T19:59:40.851
2014-11-06T02:32:19.322,0.14604,1.89058,0.33563,-0.92519,11.04045,9,5,4,198,74.78468,85.92745,0.05359,-88.14543,38.27106,53.58675,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-05T20:32:19.322
2014-11-06T02:59:43.803,0.89253,2.41195,0.82847,-0.72907,61.0,37,37,0,199,142.76466,11.51852,41.0,-87.38347,37.59272,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-05T20:59:43.803
2014-11-06T03:58:56.573,1.8938,2.46947,0.81402,0.01609,66.0,40,40,0,200,-62.35619,-167.79239,41.0,-89.69135,35.98605,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-05T21:58:56.573
2014-11-06T04:59:41.619,0.93028,3.07536,0.79102,-1.37082,67.0,40,40,0,201,102.68886,28.98658,41.0,-87.83472,37.75542,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-05T22:59:41.619
2014-11-06T05:59:41.998,0.94083,2.56723,0.70808,-1.90594,67.0,37,36,1,202,94.83336,45.02208,41.0,-87.92175,37.90072,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-05T23:59:41.998
2014-11-06T06:59:42.106,0.91738,2.82476,0.7168,-1.59427,62.0,38,38,0,203,106.87664,43.31714,41.0,-87.78509,37.88403,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-06T00:59:42.106
2014-11-06T07:58:57.132,1.83503,2.46327,0.6618,-1.02156,58.0,38,38,0,204,-56.3908,-167.79239,41.0,-89.62521,35.98642,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-06T01:58:57.132
2014-11-06T08:59:41.732,0.92546,2.85981,0.65492,-1.05517,57.0,31,31,0,205,109.17069,43.02037,41.0,-87.75907,37.88109,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-06T02:59:41.732
2014-11-06T09:59:41.814,0.91921,2.77552,0.64368,-0.87262,55.0,30,30,0,206,110.2328,37.51161,41.0,-87.74783,37.83134,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-06T03:59:41.814
2014-11-06T10:59:46.312,0.83347,2.19778,0.68808,-0.18206,38.14605,35,33,2,207,154.72655,21.14732,41.0,-87.24603,37.67752,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-06T04:59:46.312
2014-11-06T10:59:38.216,1.09921,2.23906,0.74987,-0.39431,16.85395,10,8,2,208,58.18048,32.0286,41.0,-88.33951,37.78673,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-06T04:59:38.216
2014-11-06T11:59:45.554,0.75613,2.21735,0.42467,-0.66072,36.89663,37,37,0,209,156.4512,7.78138,41.0,-87.22934,37.55684,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-06T05:59:45.554
2014-11-06T11:58:58.255,1.92733,2.12343,0.48423,-0.06496,21.10337,14,14,0,210,-40.31372,-167.79239,41.0,-89.44697,35.98723,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-06T05:58:58.255
2014-11-06T12:59:24.433,1.55896,2.47701,0.68794,-0.98795,57.0,35,35,0,211,18.6292,-46.44705,41.0,-88.79049,37.08131,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-06T06:59:24.433
2014-11-07T01:59:42.320,0.81187,2.63848,0.72842,-0.64465,65.0,37,35,2,238,127.80294,18.9166,41.0,-87.55155,37.66156,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-06T19:59:42.320
2014-11-07T02:59:45.967,0.74695,2.37721,0.67937,-0.38063,41.58906,41,41,0,239,148.95611,18.19915,41.0,-87.31202,37.65192,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-06T20:59:45.967
2014-11-07T02:58:58.193,1.80977,2.33304,0.33577,-0.12622,21.41094,12,12,0,240,-39.41371,-167.79239,41.0,-89.43699,35.98726,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-06T20:58:58.193
2014-11-07T03:52:21.668,0.87556,2.82083,0.31936,-0.55011,34.0,23,11,12,241,155.56022,20.50113,36.14145,-87.23672,37.67156,36141.45132,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-06T21:52:21.668
2014-11-07T03:59:44.685,0.84049,2.60395,0.66095,-0.95852,51.0,32,32,0,242,132.20652,28.83326,41.0,-87.49986,37.75026,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-06T21:59:44.685
2014-11-07T04:59:44.186,0.93551,2.60829,0.65229,-0.45814,59.95082,37,37,0,243,146.36021,25.14508,41.0,-87.34004,37.7149,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-06T22:59:44.186
2014-11-07T05:59:43.640,0.91793,2.61695,0.65901,-0.85086,66.0,40,39,1,244,140.96758,17.56324,41.0,-87.40265,37.64745,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-06T23:59:43.640
2014-11-07T06:59:43.357,0.8416,2.73839,0.66803,-0.33662,60.0,35,34,1,245,140.75478,21.28485,41.0,-87.40434,37.681,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-07T00:59:43.357
2014-11-07T07:58:57.685,1.91962,2.38651,0.68224,-0.47188,58.0,40,40,0,246,-50.63148,-167.79239,41.0,-89.56136,35.98674,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-07T01:58:57.685
2014-11-07T08:59:44.509,0.8559,2.61345,0.36536,-1.36779,51.0,27,27,0,247,135.4271,35.24157,41.0,-87.46213,37.80752,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-07T02:59:44.509
2014-11-07T09:59:42.979,0.93842,2.6971,0.62926,-0.95463,59.0,31,31,0,248,121.47357,38.41892,41.0,-87.62002,37.83809,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-07T03:59:42.979
2014-11-07T10:59:41.973,0.97765,3.06484,0.70806,-1.31014,60.0,38,38,0,249,113.41123,26.05373,41.0,-87.71352,37.72774,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-07T04:59:41.973
2014-11-07T11:59:43.620,0.9269,2.64309,0.53896,-1.3077,69.0,41,39,2,250,136.92549,14.22037,41.0,-87.44906,37.61795,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-07T05:59:43.620
2014-11-07T12:35:21.469,1.34673,1.21872,0.39744,-0.01776,50.57237,50,35,15,251,146.76885,81.0299,22.27769,-87.32406,38.21816,22277.69388,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-07T06:35:21.469
2014-11-07T12:59:44.581,0.91311,2.71446,0.57696,-0.91806,69.0,44,44,0,252,138.08215,29.82179,41.0,-87.43302,37.7583,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-07T06:59:44.581
2014-11-08T02:59:19.386,1.56691,2.01879,0.63482,-0.11991,27.69436,20,20,0,276,-0.803,-68.23456,41.0,-89.00901,36.88518,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-07T20:59:19.386
2014-11-08T02:59:45.626,0.73532,1.96924,0.92016,-0.34619,36.30564,40,40,0,277,152.53113,12.20965,41.0,-87.27277,37.59738,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-07T20:59:45.626
2014-11-08T03:59:43.469,0.89084,2.80281,0.75648,-0.66397,70.0,41,40,1,278,125.23988,35.89598,41.0,-87.57768,37.81486,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-07T21:59:43.469
2014-11-08T04:59:41.901,0.83804,2.89006,0.83023,-1.04369,64.0,40,39,1,279,105.68064,38.08168,41.0,-87.79945,37.83701,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-07T22:59:41.901
2014-11-08T05:59:39.389,0.95673,2.46218,0.77175,-1.08336,65.0,39,39,0,280,98.16201,11.21509,41.0,-87.88846,37.59582,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-07T23:59:39.389
2014-11-08T06:59:42.761,0.89173,2.77145,0.77061,-1.22665,67.0,38,37,1,281,111.75687,31.51463,41.0,-87.73144,37.77713,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-08T00:59:42.761
2014-11-08T07:59:42.161,0.88384,2.79468,0.75746,-1.24897,67.0,38,37,1,282,116.48069,24.27908,41.0,-87.67899,37.71137,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-08T01:59:42.161
2014-11-08T08:59:42.164,0.90948,2.90596,0.86778,-1.02473,64.0,40,40,0,283,114.14144,26.34395,41.0,-87.70519,37.73026,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-08T02:59:42.164
2014-11-08T09:59:42.161,0.94038,2.84244,0.85734,-1.13735,63.0,39,39,0,284,115.79602,29.32265,41.0,-87.68595,37.75689,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-08T03:59:42.161
2014-11-08T10:06:23.422,0.93458,1.2673,0.1984,-0.16741,22.94908,23,23,0,285,268.60095,-60.59295,41.0,-85.98575,36.91553,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-08T04:06:23.422
2014-11-08T10:59:40.747,1.04319,3.28699,0.80147,-0.60095,64.0,45,42,3,286,105.18125,30.28961,41.0,-87.80625,37.76688,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-08T04:59:40.747
